index,name,tendon,limb_group,source_file,side,side_source,crossed_limbs,crossed_joints,bodies,sites,agrees_with_geometry,note,group_key
89,Ps_L1_VB_l,Ps_L1_VB_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar1,Ps_L1_VB_l-P1|Ps_L1_VB_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
90,Ps_L1_TP_l,Ps_L1_TP_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar1,Ps_L1_TP_l-P1|Ps_L1_TP_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
91,Ps_L1_L2_IVD_l,Ps_L1_L2_IVD_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar1,Ps_L1_L2_IVD_l-P1|Ps_L1_L2_IVD_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
92,Ps_L2_TP_l,Ps_L2_TP_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar2,Ps_L2_TP_l-P1|Ps_L2_TP_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
93,Ps_L2_L3_IVD_l,Ps_L2_L3_IVD_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar2,Ps_L2_L3_IVD_l-P1|Ps_L2_L3_IVD_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
94,Ps_L3_TP_l,Ps_L3_TP_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar3,Ps_L3_TP_l-P1|Ps_L3_TP_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
95,Ps_L3_L4_IVD_l,Ps_L3_L4_IVD_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar3,Ps_L3_L4_IVD_l-P1|Ps_L3_L4_IVD_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
96,Ps_L4_TP_l,Ps_L4_TP_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar4,Ps_L4_TP_l-P1|Ps_L4_TP_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
97,Ps_L4_L5_IVD_l,Ps_L4_L5_IVD_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar4,Ps_L4_L5_IVD_l-P1|Ps_L4_L5_IVD_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
98,Ps_L5_TP_l,Ps_L5_TP_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar5,Ps_L5_TP_l-P1|Ps_L5_TP_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
99,Ps_L5_VB_l,Ps_L5_VB_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower|torso,hip_flexion_l|hip_adduction_l|hip_rotation_l|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_l|lumbar5,Ps_L5_VB_l-P1|Ps_L5_VB_l-P2|psoas_l-P3|psoas_l-P4,True,额外跨越 ['torso'],L/lower
100,LD_L1_r,LD_L1_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper|torso,T12_L1_FE|T12_L1_LB|T12_L1_AR|sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,lumbar1|humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R|rib12_R,LD_L1_r-P1|LD_L1_r-P2|LD_L1_r-P3|LD_L1_r-P4|LD_L1_r-P5|LD_L1_r-P6|LD_L1_r-P7|LD_L1_r-P8|LD_L1_r-P9|LD_L1_r-P10,True,额外跨越 ['torso'],R/upper
101,LD_L2_r,LD_L2_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper|torso,T12_L1_FE|T12_L1_LB|T12_L1_AR|sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,lumbar2|humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R|rib12_R,LD_L2_r-P1|LD_L2_r-P2|LD_L2_r-P3|LD_L2_r-P4|LD_L2_r-P5|LD_L2_r-P6|LD_L2_r-P7|LD_L2_r-P8|LD_L2_r-P9|LD_L2_r-P10,True,额外跨越 ['torso'],R/upper
102,LD_L3_r,LD_L3_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper|torso,T12_L1_FE|T12_L1_LB|T12_L1_AR|sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,lumbar3|humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R|rib12_R,LD_L3_r-P1|LD_L3_r-P2|LD_L3_r-P3|LD_L3_r-P4|LD_L3_r-P5|LD_L3_r-P6|LD_L3_r-P7|LD_L3_r-P8|LD_L3_r-P9|LD_L3_r-P10,True,额外跨越 ['torso'],R/upper
103,LD_L4_r,LD_L4_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper|torso,T12_L1_FE|T12_L1_LB|T12_L1_AR|sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,lumbar4|humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R|rib12_R,LD_L4_r-P1|LD_L4_r-P2|LD_L4_r-P3|LD_L4_r-P4|LD_L4_r-P5|LD_L4_r-P6|LD_L4_r-P7|LD_L4_r-P8|LD_L4_r-P9|LD_L4_r-P10,True,额外跨越 ['torso'],R/upper
104,LD_L5_r,LD_L5_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper|torso,T12_L1_FE|T12_L1_LB|T12_L1_AR|sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,lumbar5|humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R|rib12_R,LD_L5_r-P1|LD_L5_r-P2|LD_L5_r-P3|LD_L5_r-P4|LD_L5_r-P5|LD_L5_r-P6|LD_L5_r-P7|LD_L5_r-P8|LD_L5_r-P9|LD_L5_r-P10,True,额外跨越 ['torso'],R/upper
105,LD_T12_r,LD_T12_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,thoracic12|humerus_r|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R|rib12_R,LD_T12_r-P1|LD_T12_r-P2|LD_T12_r-P3|LD_T12_r-P4|LD_T12_r-P5|LD_T12_r-P6|LD_T12_r-P7|LD_T12_r-P8|LD_T12_r-P9,True,,R/upper
106,LD_T11_r,LD_T11_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,thoracic11|humerus_r|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R,LD_T11_r-P1|LD_T11_r-P2|LD_T11_r-P3|LD_T11_r-P4|LD_T11_r-P5|LD_T11_r-P6|LD_T11_r-P7|LD_T11_r-P8,True,,R/upper
107,LD_T10_r,LD_T10_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,thoracic10|humerus_r|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R,LD_T10_r-P1|LD_T10_r-P2|LD_T10_r-P3|LD_T10_r-P4|LD_T10_r-P5|LD_T10_r-P6|LD_T10_r-P7,True,,R/upper
108,LD_T9_r,LD_T9_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,thoracic9|humerus_r|rib6_R|rib7_R|rib8_R,LD_T9_r-P1|LD_T9_r-P2|LD_T9_r-P3|LD_T9_r-P4|LD_T9_r-P5,True,,R/upper
109,LD_T8_r,LD_T8_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,thoracic8|humerus_r|rib6_R|rib7_R|rib8_R,LD_T8_r-P1|LD_T8_r-P2|LD_T8_r-P3|LD_T8_r-P4|LD_T8_r-P5,True,,R/upper
110,LD_T7_r,LD_T7_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,thoracic7|humerus_r|rib6_R|rib7_R,LD_T7_r-P1|LD_T7_r-P2|LD_T7_r-P3|LD_T7_r-P4,True,,R/upper
111,LD_R12_r,LD_R12_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R|rib12_R,LD_R12_r-P1|LD_R12_r-P2|LD_R12_r-P3|LD_R12_r-P4|LD_R12_r-P5|LD_R12_r-P6|LD_R12_r-P7|LD_R12_r-P8|LD_R12_r-P9,True,,R/upper
112,LD_R11_r,LD_R11_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R,LD_R11_r-P1|LD_R11_r-P2|LD_R11_r-P3|LD_R11_r-P4|LD_R11_r-P5|LD_R11_r-P6|LD_R11_r-P7|LD_R11_r-P8,True,,R/upper
113,LD_IL_r,LD_IL_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper|torso,L5_S1_FE|L5_S1_LB|L5_S1_AR|T12_L1_FE|T12_L1_LB|T12_L1_AR|sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,pelvis|humerus_r|rib5_R|rib6_R|rib7_R|rib8_R|rib9_R|rib10_R|rib11_R,LD_IL_r-P1|LD_IL_r-P2|LD_IL_r-P3|LD_IL_r-P4|LD_IL_r-P5|LD_IL_r-P6|LD_IL_r-P7|LD_IL_r-P8|LD_IL_r-P9,True,额外跨越 ['torso'],R/upper
114,DELT1_r,DELT1_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,clavicle_r|scapula_r|humerus_r,DELT1_r-P1|DELT1_r-P2|DELT1_r-P3|DELT1_r-P4,True,,R/upper
115,DELT2_r,DELT2_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,DELT2_r-P1|DELT2_r-P2|DELT2_r-P3|DELT2_r-P4,True,,R/upper
116,DELT3_r,DELT3_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,DELT3_r-P1|DELT3_r-P2|DELT3_r-P3,True,,R/upper
117,SUPSP_r,SUPSP_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,SUPSP_r-P1|SUPSP_r-P2|SUPSP_r-P3,True,,R/upper
118,INFSP_r,INFSP_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,INFSP_r-P1|INFSP_r-P2,True,,R/upper
119,SUBSC_r,SUBSC_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,SUBSC_r-P1|SUBSC_r-P2|SUBSC_r-P3,True,,R/upper
120,TMIN_r,TMIN_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,TMIN_r-P1|TMIN_r-P2|TMIN_r-P3,True,,R/upper
121,TMAJ_r,TMAJ_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,TMAJ_r-P1|TMAJ_r-P2|TMAJ_r-P3|TMAJ_r-P4|TMAJ_r-P5,True,,R/upper
122,PECM1_r,PECM1_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,clavicle_r|humerus_r,PECM1_r-P1|PECM1_r-P2|PECM1_r-P3|PECM1_r-P4,True,,R/upper
123,PECM2_r,PECM2_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,sternum|humerus_r,PECM2_r-P1|PECM2_r-P2|PECM2_r-P3|PECM2_r-P4|PECM2_r-P5,True,,R/upper
124,PECM3_r,PECM3_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,sternoclavicular_r2_r|sternoclavicular_r3_r|unrotscap_r3_r|unrotscap_r2_r|acromioclavicular_r2_r|acromioclavicular_r3_r|acromioclavicular_r1_r|unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,sternum|humerus_r,PECM3_r-P1|PECM3_r-P2|PECM3_r-P3|PECM3_r-P4|PECM3_r-P5,True,,R/upper
125,CORB_r,CORB_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r,scapula_r|humerus_r,CORB_r-P1|CORB_r-P2|CORB_r-P3,True,,R/upper
126,TRIlong_r,TRIlong_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r|elbow_flexion_r,scapula_r|humerus_r|ulna_r,TRIlong_r-P1|TRIlong_r-P2|TRIlong_r-P3|TRIlong_r-P4|TRIlong_r-P5,True,,R/upper
127,TRIlat_r,TRIlat_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r,humerus_r|ulna_r,TRIlat_r-P1|TRIlat_r-P2|TRIlat_r-P3|TRIlat_r-P4|TRIlat_r-P5,True,,R/upper
128,TRImed_r,TRImed_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r,humerus_r|ulna_r,TRImed_r-P1|TRImed_r-P2|TRImed_r-P3|TRImed_r-P4|TRImed_r-P5,True,,R/upper
129,ANC_r,ANC_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r,humerus_r|ulna_r,ANC_r-P1|ANC_r-P2,True,,R/upper
130,SUP_r,SUP_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r,ulna_r|radius_r,SUP_r-P1|SUP_r-P2|SUP_r-P3,True,,R/upper
131,BIClong_r,BIClong_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r|elbow_flexion_r|pro_sup_r,scapula_r|humerus_r|radius_r,BIClong_r-P1|BIClong_r-P2|BIClong_r-P3|BIClong_r-P4|BIClong_r-P5|BIClong_r-P6|BIClong_r-P7|BIClong_r-P8|BIClong_r-P9|BIClong_r-P10,True,,R/upper
132,BICshort_r,BICshort_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,unrothum_r1_r|unrothum_r3_r|unrothum_r2_r|elv_angle_r|shoulder_elv_r|shoulder1_r2_r|shoulder_rot_r|elbow_flexion_r|pro_sup_r,scapula_r|humerus_r|radius_r,BICshort_r-P1|BICshort_r-P2|BICshort_r-P3|BICshort_r-P4|BICshort_r-P5|BICshort_r-P6|BICshort_r-P7,True,,R/upper
133,BRA_r,BRA_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r,humerus_r|ulna_r,BRA_r-P1|BRA_r-P2|BRA_r-P3|BRA_r-P4,True,,R/upper
134,BRD_r,BRD_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r,humerus_r|radius_r,BRD_r-P1|BRD_r-P2|BRD_r-P3,True,,R/upper
135,ECRL_r,ECRL_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|radius_r|proximal_row_r|hand_r,ECRL_r-P1|ECRL_r-P2|ECRL_r-P3|ECRL_r-P4,True,,R/upper
136,ECRB_r,ECRB_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|radius_r|proximal_row_r|hand_r,ECRB_r-P1|ECRB_r-P2|ECRB_r-P3|ECRB_r-P4,True,,R/upper
137,ECU_r,ECU_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|ulna_r|radius_r|hand_r,ECU_r-P1|ECU_r-P2|ECU_r-P3|ECU_r-P4|ECU_r-P5|ECU_r-P6,True,,R/upper
138,FCR_r,FCR_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|radius_r|proximal_row_r|hand_r,FCR_r-P1|FCR_r-P2|FCR_r-P3,True,,R/upper
139,FCU_r,FCU_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|radius_r|hand_r,FCU_r-P1|FCU_r-P2|FCU_r-P3|FCU_r-P4,True,,R/upper
140,PL_r,PL_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|radius_r|hand_r,PL_r-P1|PL_r-P2|PL_r-P3|PL_r-P4,True,,R/upper
141,PT_r,PT_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r,humerus_r|ulna_r|radius_r,PT_r-P1|PT_r-P2|PT_r-P3|PT_r-P4|PT_r-P5,True,,R/upper
142,PQ_r,PQ_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r,ulna_r|radius_r,PQ_r-P1|PQ_r-P2,True,,R/upper
143,FDSL_r,FDSL_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|radius_r|proximal_row_r|hand_r,FDSL_r-P1|FDSL_r-P2|FDSL_r-P3|FDSL_r-P4|FDSL_r-P5|FDSL_r-P6|FDSL_r-P7|FDSL_r-P8,True,,R/upper
144,FDSR_r,FDSR_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,elbow_flexion_r|pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,humerus_r|radius_r|proximal_row_r|hand_r,FDSR_r-P1|FDSR_r-P2|FDSR_r-P3|FDSR_r-P4|FDSR_r-P5|FDSR_r-P6|FDSR_r-P7|FDSR_r-P8,True,,R/upper
145,FDSM_r,FDSM_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,ulna_r|radius_r|proximal_row_r|hand_r,FDSM_r-P1|FDSM_r-P2|FDSM_r-P3|FDSM_r-P4|FDSM_r-P5|FDSM_r-P6|FDSM_r-P7|FDSM_r-P8|FDSM_r-P9,True,,R/upper
146,FDSI_r,FDSI_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,ulna_r|radius_r|proximal_row_r|hand_r,FDSI_r-P1|FDSI_r-P2|FDSI_r-P3|FDSI_r-P4|FDSI_r-P5|FDSI_r-P6|FDSI_r-P7|FDSI_r-P8|FDSI_r-P9,True,,R/upper
147,FDPL_r,FDPL_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,ulna_r|radius_r|proximal_row_r|hand_r,FDPL_r-P1|FDPL_r-P2|FDPL_r-P3|FDPL_r-P4|FDPL_r-P5|FDPL_r-P6|FDPL_r-P7|FDPL_r-P8|FDPL_r-P9,True,,R/upper
148,FDPR_r,FDPR_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,ulna_r|radius_r|proximal_row_r|hand_r,FDPR_r-P1|FDPR_r-P2|FDPR_r-P3|FDPR_r-P4|FDPR_r-P5|FDPR_r-P6|FDPR_r-P7|FDPR_r-P8|FDPR_r-P9,True,,R/upper
149,FDPM_r,FDPM_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,ulna_r|radius_r|proximal_row_r|hand_r,FDPM_r-P1|FDPM_r-P2|FDPM_r-P3|FDPM_r-P4|FDPM_r-P5|FDPM_r-P6|FDPM_r-P7|FDPM_r-P8|FDPM_r-P9|FDPM_r-P10,True,,R/upper
150,FDPI_r,FDPI_r_tendon,upper,Muscle_Arm_r.xml,R,name,upper,pro_sup_r|deviation_r|flexion_r|wrist_hand_r1_r|wrist_hand_r3_r,ulna_r|radius_r|proximal_row_r|hand_r,FDPI_r-P1|FDPI_r-P2|FDPI_r-P3|FDPI_r-P4|FDPI_r-P5|FDPI_r-P6|FDPI_r-P7|FDPI_r-P8|FDPI_r-P9,True,,R/upper
