sweep,label,seed,upper_scale,lower_scale,n_scaled_muscles,steps,sim_time_s,displacement_xy,mean_speed_xy,mean_pelvis_height,min_pelvis_height,max_pelvis_up_tilt_deg,mean_qpos_track_err,activation_mean,actuator_force_abs_mean,action_abs_mean,foot_contact_fraction,ncon_mean,total_normal_force_mean,termination_reason,terminated,truncated
A_upper,A_upper_u1.0_l1.0,0,1.0,1.0,0,175,3.5,3.309610482862303,0.9456029951035152,0.9132253932387626,0.875293546758,11.714286357883726,0.035876331777159605,0.16516839260225769,31.330643597551585,0.742171789290467,1.0,4.234285714285714,589.928605285448,,False,False
A_upper,A_upper_u1.0_l1.0,1,1.0,1.0,0,175,3.5,3.4350811710280578,0.9814517631508737,0.9121738961649039,0.8755396682870107,8.59525592695044,0.03480882818710437,0.1611225583831099,30.779656805495968,0.7466824222842042,1.0,4.251428571428572,584.4545782733053,,False,False
A_upper,A_upper_u1.0_l1.0,2,1.0,1.0,0,175,3.5,3.3260350116008333,0.9502957176002381,0.9130381725264101,0.8787328736103246,11.477330234234673,0.03566082798276408,0.1640739747615584,31.16272809893282,0.7439095588489455,1.0,4.268571428571429,596.1316956265814,,False,False
A_upper,A_upper_u1.0_l1.0,3,1.0,1.0,0,175,3.5,3.3354875738255765,0.9529964496644504,0.9128548520374781,0.873960573329106,11.080880836603674,0.03681622015063327,0.16739220455026965,31.625969707164913,0.7438468487598459,1.0,4.24,592.0880025058322,,False,False
A_upper,A_upper_u1.0_l1.0,4,1.0,1.0,0,175,3.5,3.3854853943920493,0.9672815412548712,0.9113230385707052,0.8704130575684553,8.7975208870528,0.03576089180528022,0.1650267828816866,31.402021346258998,0.7430523715569048,1.0,4.32,593.020424247238,,False,False
A_upper,A_upper_u0.75_l1.0,0,0.75,1.0,61,175,3.5,3.3487448312783283,0.9567842375080938,0.9123172628761832,0.8714551985790144,11.463791370670444,0.03784868115511874,0.16702799640706734,31.576345484929117,0.7469229492250754,1.0,4.228571428571429,591.6599688609696,,False,False
A_upper,A_upper_u0.75_l1.0,1,0.75,1.0,61,175,3.5,3.5131583981683145,1.0037595423338042,0.9109955276263514,0.8715638623120439,8.270742938591729,0.036644235119375736,0.16007780673550712,30.679551436379292,0.7550626166470196,1.0,4.2457142857142856,580.4635834608433,,False,False
A_upper,A_upper_u0.75_l1.0,2,0.75,1.0,61,175,3.5,3.3529538052784598,0.9579868015081313,0.9119091275706414,0.8759049479733565,11.623200000621226,0.03762124278910673,0.16418152634756303,31.142528309427288,0.7480870030140391,1.0,4.28,591.2898613526796,,False,False
A_upper,A_upper_u0.75_l1.0,3,0.75,1.0,61,175,3.5,3.3529063837487305,0.9579732524996373,0.912221903142199,0.8764800306638455,11.113664657991507,0.03787317740269323,0.16643570785349945,31.254501200374424,0.751756026441224,1.0,4.274285714285714,591.3117360267123,,False,False
A_upper,A_upper_u0.75_l1.0,4,0.75,1.0,61,175,3.5,3.457288433920547,0.9877966954058707,0.9103577552591157,0.8706588996828648,8.609322624553805,0.038586854423842555,0.16125252408538285,30.671973733888173,0.7503149897555915,1.0,4.388571428571429,592.8619791807281,,False,False
A_upper,A_upper_u0.5_l1.0,0,0.5,1.0,61,175,3.5,3.298073717739662,0.9423067764970463,0.9126764056189923,0.8670879255044472,10.88622096321328,0.04143798498249163,0.1642095554439702,30.749294697390432,0.7499431199477643,1.0,4.274285714285714,596.3191223760308,,False,False
A_upper,A_upper_u0.5_l1.0,1,0.5,1.0,61,175,3.5,3.4840299281825735,0.9954371223378782,0.9101285523392713,0.8640084854749052,9.048916322193415,0.041274058566235644,0.16199109735746736,30.545801480439113,0.7590151978419752,1.0,4.251428571428572,590.9642982889887,,False,False
A_upper,A_upper_u0.5_l1.0,2,0.5,1.0,61,175,3.5,3.2910023441084975,0.9402863840309993,0.9122889430355612,0.869185157890962,12.004898029031118,0.04141602421536346,0.16207769428361038,30.391715382116505,0.7512379860800141,1.0,4.24,593.8415717142335,,False,False
A_upper,A_upper_u0.5_l1.0,3,0.5,1.0,61,175,3.5,3.315523551594921,0.9472924433128346,0.9117767560058622,0.8660281812694393,10.600719424219786,0.041340675273627496,0.16273197879677545,30.33511566904466,0.7523997155778261,1.0,4.2457142857142856,585.4753027289703,,False,False
A_upper,A_upper_u0.5_l1.0,4,0.5,1.0,61,175,3.5,3.4581477452416607,0.9880422129261888,0.9103526044308728,0.8695860033782968,8.685317532651794,0.04119959310230458,0.1590530597589493,30.13950895644776,0.7535220858179793,1.0,4.411428571428571,590.3489744535832,,False,False
A_upper,A_upper_u0.25_l1.0,0,0.25,1.0,61,175,3.5,3.1180258571151214,0.8908645306043204,0.9133448403768231,0.8692153309658319,10.609106021628016,0.047707922554119576,0.16260030442391318,30.06423574440855,0.7509200512068613,1.0,4.251428571428572,587.9257459602288,,False,False
A_upper,A_upper_u0.25_l1.0,1,0.25,1.0,61,175,3.5,3.331627066991123,0.9518934477117494,0.9110256915130693,0.8681960534132412,6.423069996765949,0.04812453706582701,0.15715939898065648,29.606797777626376,0.762516094163486,1.0,4.297142857142857,588.0558301702752,,False,False
A_upper,A_upper_u0.25_l1.0,2,0.25,1.0,61,175,3.5,3.1309403611825557,0.8945543889093016,0.9125092966448425,0.8677723295971249,11.143192296434218,0.047552177937371334,0.16217162701326016,30.281576383856518,0.7528320277963366,1.0,4.28,595.2226177260013,,False,False
A_upper,A_upper_u0.25_l1.0,3,0.25,1.0,61,175,3.5,3.205668811868492,0.9159053748195692,0.9113262060642819,0.8667407228409533,10.570625663730805,0.0476097599035563,0.16204667807173026,30.06078773890684,0.7600238263237231,1.0,4.297142857142857,586.1744066433487,,False,False
A_upper,A_upper_u0.25_l1.0,4,0.25,1.0,61,175,3.5,3.3968917372064507,0.9705404963447002,0.9073781782228788,0.862439863000825,9.602721250753696,0.04999334387931074,0.16245509051881032,30.12257337218657,0.7621862967004581,1.0,4.354285714285714,589.1289694410318,,False,False
B_lower,B_lower_u1.0_l1.0,0,1.0,1.0,0,175,3.5,3.309610482862303,0.9456029951035152,0.9132253932387626,0.875293546758,11.714286357883726,0.035876331777159605,0.16516839260225769,31.330643597551585,0.742171789290467,1.0,4.234285714285714,589.928605285448,,False,False
B_lower,B_lower_u1.0_l1.0,1,1.0,1.0,0,175,3.5,3.4350811710280578,0.9814517631508737,0.9121738961649039,0.8755396682870107,8.59525592695044,0.03480882818710437,0.1611225583831099,30.779656805495968,0.7466824222842042,1.0,4.251428571428572,584.4545782733053,,False,False
B_lower,B_lower_u1.0_l1.0,2,1.0,1.0,0,175,3.5,3.3260350116008333,0.9502957176002381,0.9130381725264101,0.8787328736103246,11.477330234234673,0.03566082798276408,0.1640739747615584,31.16272809893282,0.7439095588489455,1.0,4.268571428571429,596.1316956265814,,False,False
