sweep,label,seed,upper_scale,lower_scale,n_scaled_muscles,outcome,steps,sim_time_s,forward_displacement_x,lateral_drift_y,displacement_xy,mean_speed_xy,mean_pelvis_height,min_pelvis_height,max_pelvis_up_tilt_deg,mean_qpos_track_err,activation_mean,actuator_force_abs_mean,action_abs_mean,foot_contact_fraction,ncon_mean,total_normal_force_mean,termination_reason,termination_source,terminated,truncated
A_upper,A_upper_u1.0_l1.0,0,1.0,1.0,0,completed,176,3.519999999999834,3.3230789927031967,0.09820698264543601,3.3245298318988827,0.9444687022440453,0.9133127991913569,0.875293546758,11.714286357883726,0.03591422760343163,0.16542040645887776,31.35553814566841,0.7415517180340437,1.0,4.232954545454546,589.4959913343525,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u1.0_l1.0,1,1.0,1.0,0,completed,176,3.519999999999834,3.4508849598748745,0.03785558073262442,3.451092588048489,0.9804240306956398,0.9121194387303269,0.8755396682870107,8.59525592695044,0.03486651533531218,0.16118973401264416,30.799042755735524,0.7465366274244212,1.0,4.255681818181818,585.1597700597383,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u1.0_l1.0,2,1.0,1.0,0,completed,176,3.519999999999834,3.337838810328117,0.09986609792045581,3.3393324424570965,0.9486739893344471,0.9131448451615177,0.8787328736103246,11.477330234234673,0.03568364560982715,0.1644035508680896,31.18278829271279,0.7431866130465036,1.0,4.267045454545454,595.819878732244,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u1.0_l1.0,3,1.0,1.0,0,completed,176,3.519999999999834,3.351659349967589,0.08062481979103372,3.352628932612659,0.9524514013104594,0.9128643258201957,0.873960573329106,11.080880836603674,0.03684039022616878,0.16764724008355597,31.65435852270921,0.7432454899035684,1.0,4.238636363636363,592.0860598272305,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u1.0_l1.0,4,1.0,1.0,0,completed,176,3.519999999999834,3.3950688902119803,0.10110432911343203,3.3965739878075207,0.9649357919908185,0.9114355180303921,0.8704130575684553,8.7975208870528,0.03579441855306304,0.16510701858903742,31.403875703454013,0.742627541338662,1.0,4.318181818181818,593.3575433748708,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.75_l1.0,0,0.75,1.0,61,completed,176,3.519999999999834,3.1950964027601403,0.11944060268363221,3.197328115864904,0.9083318510980269,0.9136851300343788,0.8786880729538367,11.079149756129308,0.039440480518340065,0.16366453276004692,30.647521903850997,0.7368135377092215,1.0,4.181818181818182,588.8499605628556,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.75_l1.0,1,0.75,1.0,61,completed,176,3.519999999999834,3.36852723279406,0.039043242431719416,3.3687534924441693,0.9570322421716841,0.913556713945799,0.8775579447158046,7.717218798147075,0.037412312507903514,0.15991769061410588,30.294555297444735,0.7427076344622613,1.0,4.2272727272727275,588.7515922831116,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.75_l1.0,2,0.75,1.0,61,completed,176,3.519999999999834,3.2265179471780376,0.13073279225374737,3.2291653916193948,0.9173765317100986,0.9133506642529086,0.8789942584519006,10.804303797290428,0.03935241689146123,0.1615290080732127,30.224452696749402,0.7401331386444244,1.0,4.181818181818182,594.6061159857229,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.75_l1.0,3,0.75,1.0,61,completed,176,3.519999999999834,3.255583157441132,0.12992339933107694,3.258174609303208,0.9256177867339095,0.9136392257895906,0.8773545946143374,10.680854678050714,0.03964253205528862,0.1626109473349922,30.408405798837055,0.7416114349014961,1.0,4.2272727272727275,593.6014658220191,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.75_l1.0,4,0.75,1.0,61,completed,176,3.519999999999834,3.3736334061036986,0.12606091778877299,3.37598781303674,0.9590874468854828,0.9109092041716906,0.8700430956486517,8.463464893630901,0.03985248410096223,0.16116084541003567,30.11630098355646,0.7515333148208143,1.0,4.306818181818182,589.8316919176727,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.5_l1.0,0,0.5,1.0,61,completed,176,3.519999999999834,3.1793551701016955,0.16269722146588805,3.1835153028570637,0.9044077564935267,0.9139977940565167,0.8795311066822783,10.496990368405237,0.04481759413325252,0.1627484401043459,30.203764801913664,0.7470230048028874,1.0,4.244318181818182,592.5736102449075,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.5_l1.0,1,0.5,1.0,61,completed,176,3.519999999999834,3.333682140779395,0.044243878225248,3.3339757252433464,0.94715219467145,0.9129754704040991,0.8762436975392096,9.216738823018494,0.041933442814409784,0.15842816717596178,29.769080985306335,0.7511626133651702,1.0,4.2897727272727275,593.1428976394868,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.5_l1.0,2,0.5,1.0,61,completed,176,3.519999999999834,3.1289109539443203,0.18369102765282375,3.1342983507242743,0.8904256678194381,0.9137911037394659,0.8800748110736492,10.459714319294003,0.04485007436152379,0.1620687456495391,29.856093449671267,0.7511188868225201,1.0,4.244318181818182,603.7348508722145,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.5_l1.0,3,0.5,1.0,61,completed,176,3.519999999999834,3.1655062213566376,0.1180721489799201,3.167707478573789,0.8999168973221416,0.9138253466553526,0.8760168064269703,10.664743536215223,0.04493862470353378,0.1642079796529283,30.310820590356684,0.7448918344119153,1.0,4.1875,589.0506960127649,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.5_l1.0,4,0.5,1.0,61,completed,176,3.519999999999834,3.2489762262655524,0.1759864436127605,3.2537390410378975,0.9243576821130827,0.911266466246164,0.869354937687693,9.161057835973825,0.04521338048196868,0.15932768968436478,29.543903692106195,0.7503600281506002,1.0,4.306818181818182,594.7735432091358,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.25_l1.0,0,0.25,1.0,61,completed,176,3.519999999999834,2.9488167467685966,0.2638333971124984,2.960595931135293,0.8410783895271116,0.9114337735903738,0.870733979391229,15.496678400509934,0.05877251031258426,0.17065536031943224,31.455510005815878,0.7789198666482003,1.0,4.431818181818182,601.7393164628842,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.25_l1.0,1,0.25,1.0,61,completed,176,3.519999999999834,3.2990134625149348,0.08981068146456897,3.300235716484492,0.9375669649104112,0.911547330993772,0.872793257275089,9.103239376909674,0.05140143952152143,0.1615529266728536,29.887781127136154,0.7633457225856262,1.0,4.244318181818182,589.101139759659,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.25_l1.0,2,0.25,1.0,61,completed,176,3.519999999999834,2.919441315826523,0.27128438742092775,2.9320185564578622,0.8329598171755683,0.9104823113784839,0.8666470653236819,13.22434745714072,0.05814450781258736,0.17209552921472676,31.58632263470116,0.7707770710632011,1.0,4.329545454545454,595.873694379385,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.25_l1.0,3,0.25,1.0,61,completed,176,3.519999999999834,2.9687231475745275,0.30085062647945005,2.9839283212567103,0.847706909447969,0.9091048664849012,0.8717697382135196,21.03508821655209,0.059020878905758606,0.1736138879584969,32.20428218949046,0.7755493851939772,0.9943181818181818,4.278409090909091,592.802069827892,达到规定评估时长 3.51 s,time_limit,False,True
A_upper,A_upper_u0.25_l1.0,4,0.25,1.0,61,completed,176,3.519999999999834,3.2095773074052363,0.15465255153849744,3.2133010913868643,0.9128696282349477,0.9100162617365855,0.8675523130847537,9.065239170633092,0.054912744043376586,0.16378004853340702,29.954761153562572,0.7671703209800572,1.0,4.318181818181818,584.5788786616808,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l1.0,0,1.0,1.0,0,completed,176,3.519999999999834,3.3230789927031967,0.09820698264543601,3.3245298318988827,0.9444687022440453,0.9133127991913569,0.875293546758,11.714286357883726,0.03591422760343163,0.16542040645887776,31.35553814566841,0.7415517180340437,1.0,4.232954545454546,589.4959913343525,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l1.0,1,1.0,1.0,0,completed,176,3.519999999999834,3.4508849598748745,0.03785558073262442,3.451092588048489,0.9804240306956398,0.9121194387303269,0.8755396682870107,8.59525592695044,0.03486651533531218,0.16118973401264416,30.799042755735524,0.7465366274244212,1.0,4.255681818181818,585.1597700597383,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l1.0,2,1.0,1.0,0,completed,176,3.519999999999834,3.337838810328117,0.09986609792045581,3.3393324424570965,0.9486739893344471,0.9131448451615177,0.8787328736103246,11.477330234234673,0.03568364560982715,0.1644035508680896,31.18278829271279,0.7431866130465036,1.0,4.267045454545454,595.819878732244,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l1.0,3,1.0,1.0,0,completed,176,3.519999999999834,3.351659349967589,0.08062481979103372,3.352628932612659,0.9524514013104594,0.9128643258201957,0.873960573329106,11.080880836603674,0.03684039022616878,0.16764724008355597,31.65435852270921,0.7432454899035684,1.0,4.238636363636363,592.0860598272305,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l1.0,4,1.0,1.0,0,completed,176,3.519999999999834,3.3950688902119803,0.10110432911343203,3.3965739878075207,0.9649357919908185,0.9114355180303921,0.8704130575684553,8.7975208870528,0.03579441855306304,0.16510701858903742,31.403875703454013,0.742627541338662,1.0,4.318181818181818,593.3575433748708,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l0.75,0,1.0,0.75,50,completed,176,3.519999999999834,3.357426263101927,0.15423740441784362,3.3609671657259796,0.9548202175358347,0.9114685792656322,0.8717706644215039,10.958939415042869,0.037728015701382296,0.17081594367155864,30.0070338328302,0.7498361736086087,1.0,4.278409090909091,588.659042252201,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l0.75,1,1.0,0.75,50,completed,176,3.519999999999834,3.5640986716213505,0.11206822473043665,3.5658601526205858,1.0130284524490778,0.9100334576061581,0.8660308421466268,8.867508886701385,0.0357488836412981,0.16800563744606753,30.018112689276574,0.7566994712167939,1.0,4.267045454545454,596.7888083737281,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l0.75,2,1.0,0.75,50,completed,176,3.519999999999834,3.3858659506018522,0.09358129224022033,3.3871589413108936,0.9622610628724584,0.9101443649306095,0.8746499319949891,10.739406758092311,0.03651230660874902,0.1680196774691515,29.821501340817193,0.7457083698250837,1.0,4.2727272727272725,589.5345219173286,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l0.75,3,1.0,0.75,50,completed,176,3.519999999999834,3.408570423677599,0.14828123188805964,3.4117941990835154,0.9692597156487717,0.9107353949984962,0.8757014513394473,10.407591274123927,0.03783377451148543,0.16861263171803118,29.728943205257952,0.7519794662911202,1.0,4.255681818181818,587.1189944432273,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l0.75,4,1.0,0.75,50,completed,176,3.519999999999834,3.5620696251581703,0.11619043772441956,3.5639641177056007,1.0124898061664116,0.9092301939607071,0.8642919512493104,8.330030540209568,0.03774477951738008,0.17016337507401078,29.903999063666856,0.7576332945100865,1.0,4.244318181818182,590.9652355410493,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l0.5,0,1.0,0.5,50,fell,159,3.1799999999998714,1.5985008689239124,-0.7270648016748119,1.7560832137985194,0.5522274257228271,0.8804887168805193,0.5460838530175991,38.62533751176865,0.13386902401172615,0.28345216370119436,55.234347649501245,0.8619223669784517,1.0,3.7547169811320753,561.8325920606873,跌到骨盆高度 0.546 m < 0.55 m,physical_fall,True,False
B_lower,B_lower_u1.0_l0.5,1,1.0,0.5,50,fell,112,2.239999999999975,2.0763403182884135,0.153205357681047,2.0819848700151997,0.929457531256796,0.8560658870401462,0.7161220058259011,60.47273025783455,0.10756708435517928,0.230606427638729,43.221429866076036,0.8144782142227098,0.9642857142857143,4.1875,639.9583053309228,骨盆直立偏差 60.5° > 60.0°,physical_fall,True,False
B_lower,B_lower_u1.0_l0.5,2,1.0,0.5,50,fell,123,2.4599999999999507,2.382276796511209,0.3373978050723353,2.4060507089551,0.9780693938842066,0.8769500708511072,0.5434892030089535,32.177014810328856,0.06960890616384001,0.2338599410602733,40.81737732069381,0.8147035010766482,0.959349593495935,4.121951219512195,563.5327355400516,跌到骨盆高度 0.543 m < 0.55 m,physical_fall,True,False
B_lower,B_lower_u1.0_l0.5,3,1.0,0.5,50,fell,121,2.419999999999955,2.2508250743919707,0.6147527715648248,2.3332669126480696,0.9641598812595508,0.8781898062944605,0.775376510245584,62.42456820254601,0.08184744631554176,0.23366611479292196,41.40891325590048,0.8199708698441879,0.9917355371900827,4.090909090909091,592.7992133082878,骨盆直立偏差 62.4° > 60.0°,physical_fall,True,False
B_lower,B_lower_u1.0_l0.5,4,1.0,0.5,50,completed,176,3.519999999999834,3.1361227551598185,0.18103877378899155,3.1413438164336984,0.8924272205777973,0.9043366596150886,0.8605231025719897,8.221355985770263,0.04436581671142231,0.20278583786399518,32.54260594914294,0.7644692546995234,1.0,4.375,592.9050330064055,达到规定评估时长 3.51 s,time_limit,False,True
B_lower,B_lower_u1.0_l0.25,0,1.0,0.25,50,fell,64,1.280000000000001,0.862201664927163,0.2837821231024479,0.9077025968871658,0.7091426538180978,0.8595944927507098,0.7341075028494327,61.996906763908136,0.11660428829708565,0.2676236187099529,46.82955864811341,0.8479250263316291,1.0,3.921875,556.8051334428242,骨盆直立偏差 62.0° > 60.0°,physical_fall,True,False
B_lower,B_lower_u1.0_l0.25,1,1.0,0.25,50,fell,30,0.6000000000000004,0.4826779199404062,0.0005957201859814343,0.4826782875586359,0.8044638125977259,0.8338836292491583,0.7438258781440023,61.54778308833904,0.12593374597857673,0.29877698854993373,53.97625674037422,0.8739554126234281,1.0,4.033333333333333,484.65890970972504,骨盆直立偏差 61.5° > 60.0°,physical_fall,True,False
B_lower,B_lower_u1.0_l0.25,2,1.0,0.25,50,fell,62,1.2400000000000009,0.8404461018380193,0.24538732382314232,0.8755367432539916,0.7060780187532185,0.860995507287312,0.746820748452209,60.940676591205005,0.10315839414021338,0.2523536911030745,43.17787148743257,0.843129722937461,1.0,3.9516129032258065,549.185398629814,骨盆直立偏差 60.9° > 60.0°,physical_fall,True,False
B_lower,B_lower_u1.0_l0.25,3,1.0,0.25,50,fell,62,1.2400000000000009,0.8644895101090715,0.2500908170996161,0.8999375144342945,0.7257560600276564,0.8585102150145684,0.7535671888603195,60.042233967223176,0.09616344963878755,0.24856891320435034,41.6735560325889,0.839739090951357,1.0,3.903225806451613,565.0133782870755,骨盆直立偏差 60.0° > 60.0°,physical_fall,True,False
B_lower,B_lower_u1.0_l0.25,4,1.0,0.25,50,fell,67,1.340000000000001,1.2097988377491053,0.48896545372850886,1.304875642641479,0.9737877930160284,0.817335691472387,0.5295978401934132,59.74446044375189,0.10975933489323073,0.26792222781283326,45.680918095287005,0.8351134231515023,0.9850746268656716,3.537313432835821,529.1975779436732,跌到骨盆高度 0.530 m < 0.55 m,physical_fall,True,False
